k	t	bipart	threshold	tp	tn	fp	fn	fmeasure	tprate	fprate	precision	recall	fallcout	acc
64	0,4	false	0,16	5	29207	3	24045	0,0004	0,0002	0,0001	0,6250	0,0002	0,3750	0,5485
64	0,4	true	1,00	11226	20894	8316	12824	0,5150	0,4668	0,2847	0,5745	0,4668	0,4255	0,6031
64	0,7	false	0,50	14	29201	9	24036	0,0012	0,0006	0,0003	0,6087	0,0006	0,3913	0,5485
64	0,7	true	1,00	12875	20089	9121	11175	0,5592	0,5353	0,3123	0,5853	0,5353	0,4147	0,6189
64	0,8	false	0,50	364	29024	186	23686	0,0296	0,0151	0,0064	0,6618	0,0151	0,3382	0,5518
64	0,8	true	1,00	14225	19166	10044	9825	0,5888	0,5915	0,3439	0,5861	0,5915	0,4139	0,6269
64	0,9	false	0,50	394	29002	208	23656	0,0320	0,0164	0,0071	0,6545	0,0164	0,3455	0,5519
64	0,9	true	1,00	15643	17997	11213	8407	0,6146	0,6504	0,3839	0,5825	0,6504	0,4175	0,6316
														
														
