k	t	bipart	threshold	tp	tn	fp	fn	fmeasure	tprate	fprate	precision	recall	t	acc
61	0,9	true	1,00	195	3893	216	1319	0,2026	0,1288	0,0526	0,4745	0,1288	0,5255	0,7270
62	0,1	false	0,04	2	4107	2	1512	0,0026	0,0013	0,0005	0,5000	0,0013	0,5000	0,7307
62	0,1	true	1,00	172	3887	222	1342	0,1803	0,1136	0,0540	0,4365	0,1136	0,5635	0,7219
62	0,2	false	0,04	9	4105	4	1505	0,0118	0,0059	0,0010	0,6923	0,0059	0,3077	0,7316
62	0,2	true	1,00	243	3867	242	1271	0,2431	0,1605	0,0589	0,5010	0,1605	0,4990	0,7309
62	0,3	false	0,06	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
62	0,3	true	1,00	274	3835	274	1240	0,2658	0,1810	0,0667	0,5000	0,1810	0,5000	0,7307
62	0,4	false	0,06	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
62	0,4	true	1,00	292	3818	291	1222	0,2785	0,1929	0,0708	0,5009	0,1929	0,4991	0,7309
62	0,7	false	0,11	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
62	0,7	true	1,00	258	3843	266	1256	0,2532	0,1704	0,0647	0,4924	0,1704	0,5076	0,7293
62	0,8	false	0,14	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
62	0,8	true	1,00	237	3841	268	1277	0,2348	0,1565	0,0652	0,4693	0,1565	0,5307	0,7252
62	0,9	false	0,14	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
62	0,9	true	1,00	216	3903	206	1298	0,2231	0,1427	0,0501	0,5118	0,1427	0,4882	0,7325
63	0,1	false	0,04	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
63	0,1	true	1,00	193	3900	209	1321	0,2015	0,1275	0,0509	0,4801	0,1275	0,5199	0,7279
63	0,2	false	0,04	1	4108	1	1513	0,0013	0,0007	0,0002	0,5000	0,0007	0,5000	0,7307
63	0,2	true	1,00	267	3839	270	1247	0,2604	0,1764	0,0657	0,4972	0,1764	0,5028	0,7302
63	0,3	false	0,04	0	4108	1	1514	0,0000	0,0000	0,0002	0,0000	0,0000	1,0000	0,7306
63	0,3	true	1,00	281	3843	266	1233	0,2727	0,1856	0,0647	0,5137	0,1856	0,4863	0,7334
63	0,4	false	0,06	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
63	0,4	true	1,00	296	3805	304	1218	0,2800	0,1955	0,0740	0,4933	0,1955	0,5067	0,7293
63	0,7	false	0,09	2	4109	0	1512	0,0026	0,0013	0,0000	1,0000	0,0013	0,0000	0,7311
63	0,7	true	1,00	256	3837	272	1258	0,2507	0,1691	0,0662	0,4848	0,1691	0,5152	0,7279
63	0,8	false	0,14	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
63	0,8	true	1,00	228	3866	243	1286	0,2297	0,1506	0,0591	0,4841	0,1506	0,5159	0,7281
63	0,9	false	0,16	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
63	0,9	true	1,00	201	3881	228	1313	0,2069	0,1328	0,0555	0,4685	0,1328	0,5315	0,7259
64	0,1	true	1,00	205	3881	228	1309	0,2106	0,1354	0,0555	0,4734	0,1354	0,5266	0,7267
64	0,1	false	0,03	2	4109	0	1512	0,0026	0,0013	0,0000	1,0000	0,0013	0,0000	0,7311
64	0,2	false	0,04	1	4108	1	1513	0,0013	0,0007	0,0002	0,5000	0,0007	0,5000	0,7307
64	0,2	true	1,00	264	3869	240	1250	0,2616	0,1744	0,0584	0,5238	0,1744	0,4762	0,7350
64	0,3	false	0,06	2	4108	1	1512	0,0026	0,0013	0,0002	0,6667	0,0013	0,3333	0,7309
64	0,3	true	1,00	270	3824	285	1244	0,2610	0,1783	0,0694	0,4865	0,1783	0,5135	0,7281
64	0,4	false	0,06	1	4108	1	1513	0,0013	0,0007	0,0002	0,5000	0,0007	0,5000	0,7307
64	0,4	true	1,00	267	3809	300	1247	0,2566	0,1764	0,0730	0,4709	0,1764	0,5291	0,7249
64	0,7	false	0,09	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
64	0,7	true	1,00	259	3813	296	1255	0,2504	0,1711	0,0720	0,4667	0,1711	0,5333	0,7242
64	0,8	false	0,14	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
64	0,8	true	1,00	234	3829	280	1280	0,2308	0,1546	0,0681	0,4553	0,1546	0,5447	0,7226
64	0,9	false	0,17	1	4109	0	1513	0,0013	0,0007	0,0000	1,0000	0,0007	0,0000	0,7309
64	0,9	true	1,00	201	3894	215	1313	0,2083	0,1328	0,0523	0,4832	0,1328	0,5168	0,7283
