,soft_id,geneOntology,uniprot,ensemble human,entrez gene,ncbi,GSM433776,GSM433777,GSM433778,GSM433779,GSM433780,GSM433781,GSM433782,GSM433783,GSM433784
3846742,3846742,GO:0031901,Q9BWP4,ENSG00000141985,6455,,10.12819654,9.650290098,9.620798837,9.751384182,9.56281432,9.467825049,9.652434829,9.952631152,9.901495768
2435323,2435323,GO:0016787,B1APK3,ENSG00000196407,284486,,8.581454379,8.488626674,8.429724318,8.503046859,8.500321233,8.496195377,8.489667675,8.68737579,8.551601254
2408189,2408189,GO:0016290,P50897,ENSG00000131238,5538,,11.10202919,11.09651072,10.73335178,9.857740626,10.78945464,11.58448936,10.97254242,10.04799055,10.39011069
2565119,2565119,GO:0001706,Q05923,ENSG00000158050,1844,,9.087526615,8.956129032,8.9610916,8.89539047,8.943664491,9.04843083,8.932758753,9.263465215,9.242914154
2418570,2418570,GO:0005886,Q8NCS7,ENSG00000137968,204962,,8.34856419,8.330185179,8.308033722,8.331944187,8.312308821,8.616190522,8.289968207,8.39780387,8.318226825
3523318,3523318,GO:0005272,C9JUP2,ENSG00000102452,259232,,8.462095577,8.418063626,8.37398225,9.086962265,8.393867906,8.775204457,8.978415719,8.500699064,8.554481004
4007376,4007376,GO:0003676,Q5JQZ4,ENSG00000241476,10214,,8.51245198,8.548067541,8.529930439,8.581142874,8.51548979,8.58623232,8.770489183,8.680825856,8.526771796
2819779,2819779,GO:0005886,D6RIF0,ENSG00000164199,84059,,8.367099425,8.337094428,8.349316869,8.328502504,8.360625021,8.300376163,8.30839014,8.378372522,8.378195881
2451870,2451870,GO:0004103,B7Z1G7,ENSG00000234555,55224,,9.02791713,9.607324556,9.042011329,8.616053968,9.072334794,9.428540106,9.759578586,8.902743574,9.033470053
3816815,3816815,GO:0007204,P30679,ENSG00000060558,2769,,8.888422667,8.717564311,8.673178901,8.787942403,8.763094415,8.695143633,8.68034525,9.135061055,8.841887548
2831875,2831875,GO:0008643,Q96G79,ENSG00000176087,113829,,9.472064465,10.03181594,9.533669317,9.474048022,9.64437067,9.625391252,9.119629987,8.872030502,9.325965409
3712517,3712517,GO:0055086,Q2I378,ENSG00000205309,56953,,9.331152037,9.165641402,9.463449786,9.328322116,9.377283091,9.381639452,9.356471583,9.408277257,9.436555881
3866117,3866117,,Q96B18,ENSG00000197380,147906,,9.51513579,9.300784601,9.211232855,9.315515974,9.368926028,9.124865012,9.14629862,9.454501499,9.424819184
3620022,3620022,GO:0005886,P29376,ENSG00000062524,4058,,8.939543974,8.697753655,8.693581071,8.766664675,8.745833399,8.684521778,8.683002511,9.078408515,8.883684783
2636319,2636319,GO:0005886,C9JZ38,ENSG00000144857,91653,,8.798629906,8.694976532,8.597597837,8.789990464,8.958437575,8.604790625,8.79516761,8.944604032,8.763581462
3443183,3443183,GO:0005488,Q9ULY5,ENSG00000166523,26253,,8.245664983,8.254105786,8.242449745,8.258082189,8.250262125,8.259669284,8.227985742,8.292924832,8.234383594
3764399,3764399,GO:0016874,Q68DV7,ENSG00000108375,54894,,8.57430179,8.719281647,8.461702378,8.536174754,8.7253958,8.740103442,8.685825423,8.813884506,8.908072893
3928452,3928452,GO:0005198,Q3LI83,ENSG00000188694,643803,,8.540640311,8.426554104,8.42157409,8.41912592,8.465090306,8.442955009,8.494252192,8.561363702,8.485043599
3867247,3867247,GO:0046983,Q10586,ENSG00000105516,1628,,9.589741656,9.37306493,9.610545594,9.64212575,9.710178773,9.270441056,9.671157914,9.719796449,10.0659921
2679193,2679193,GO:0003735,P62906,ENSG00000198755,4736,,10.12953002,9.615419614,9.73731729,9.929167551,9.557233934,9.645255587,9.988250673,9.879494164,10.03249258
2474479,2474479,GO:0050750,B4DQM7,ENSG00000115234,9784,,10.73589023,10.25497251,10.10217116,9.864892586,10.14285868,10.27550704,10.29793219,9.664243599,9.970042767
3131789,3131789,GO:0016769,Q8NHS2,ENSG00000169154,137362,,8.551873568,8.461523662,8.428253327,8.519820389,8.486418188,8.437702806,8.484597608,8.535521364,8.495755626
2777070,2777070,GO:0005488,Q8NBQ5,ENSG00000198189,51170,,9.842151774,9.528097912,10.04944095,9.743543736,9.275993027,10.03085367,9.78194086,9.049182832,9.66333985
3743571,3743571,GO:0003729,Q9Y2T7,ENSG00000006047,51087,,9.489235241,9.120964288,9.025086999,9.202253733,9.225413693,9.165287017,9.054227872,9.602461691,9.50797461
3475496,3475496,GO:0005615,Q6EBC2,ENSG00000204671,386653,,8.397236837,8.354080527,8.369301536,8.353165271,8.352201876,8.318429995,8.411819083,8.523623809,8.420287937
2434319,2434319,GO:0005634,B4E0I6,ENSG00000143401,81611,,8.698109033,9.54549573,9.004524983,9.283555832,8.999069962,9.00627762,9.170956528,8.71479932,8.973127676
2356721,2356721,GO:0005886,Q86WJ1,ENSG00000131778,9557,,9.314575915,9.96863832,9.464790514,9.334619189,9.708225941,9.446161381,10.24666189,9.182493014,9.042071632
3742627,3742627,GO:0016020,A8MWA7,ENSG00000161929,388325,,8.406955323,8.429050518,8.35919472,8.36988378,8.399686552,8.377530936,8.396256569,8.484852881,8.37305258
2600037,2600037,GO:0009341,C9JE41,ENSG00000163521,79411,,8.858793568,8.947831404,9.079883825,8.787017952,9.491153867,9.143470254,10.2336599,9.36326774,9.698179631
2408437,2408437,GO:0045941,Q96RK1,ENSG00000179862,163732,,9.911469983,9.613491721,9.550596497,9.861518312,9.67799077,9.528451965,9.572843258,9.886898021,9.778106414
3356539,3356539,GO:0005886,B7Z1I4,ENSG00000182667,50863,,8.576232904,8.509053352,8.540133479,8.605858591,8.541554784,8.482435382,8.481152851,8.679907533,8.63076226
3882626,3882626,,,,,,9.015330143,8.842747304,8.757569364,8.835830393,8.821146368,8.801041255,8.776919914,9.130659793,8.977860813
3625761,3625761,GO:0005635,Q8NEH6,ENSG00000138587,55329,,8.415337277,8.611898215,8.484157873,8.503042611,8.501328926,8.435826654,8.422249721,8.404897018,8.373217503
3756482,3756482,GO:0005198,Q7Z3Y8,ENSG00000204897,342574,,8.40964964,8.432162105,8.351289337,8.376286517,8.401370429,8.431061407,8.445724671,8.415142276,8.418804586
3711869,3711869,GO:0032755,Q2L7J7,ENSG00000170425,136,,9.024977471,8.706463979,8.856125806,9.378477438,8.909634021,9.069760816,9.04927292,9.238902952,8.979942966
3056292,3056292,GO:0005198,Q75L79,ENSG00000165215,1365,,8.676723598,8.522731056,8.621829988,8.593971087,8.614868424,8.493684214,8.574985305,8.79268794,8.656317709
4000370,4000370,GO:0006281,C9J5X9,ENSG00000181163,4869,,8.768494403,9.107992359,8.865257714,8.58186521,9.330640244,8.766660834,8.714008378,8.814754263,8.614906158
3991814,3991814,,B4DI96,ENSG00000156500,159091,,9.127176018,9.010934903,9.155086266,9.034368948,9.260864992,9.162346916,9.054395156,9.084347444,9.120335977
3551485,3551485,GO:0005874,O00423,ENSG00000066629,2009,,8.9342422,8.815929896,8.774847973,9.343620028,8.779079186,8.727459026,8.709319975,8.962449308,8.82539167
3371293,3371293,GO:0005576,C9JXX5,ENSG00000234776,143678,,8.877437297,8.728989596,8.722582218,8.723016347,8.757216839,8.67482145,8.800800884,9.089665451,8.842382668
2878662,2878662,GO:0017048,O60610,ENSG00000131504,1729,,9.461244864,9.967893687,9.523931836,9.494913554,9.271911071,10.19780731,9.077927109,9.216272651,9.462471194
3258477,3258477,GO:0007204,B7ZM61,ENSG00000138193,51196,,8.503077925,8.630514436,8.497824921,8.990094959,8.448171142,8.421407412,8.504486364,8.739043951,8.501310094
3876084,3876084,GO:0016020,Q9UJQ1,ENSG00000225988,24141,,8.434211305,8.386355767,8.334140958,8.409895223,8.380430282,8.353860515,8.366521659,8.47359193,8.47416391
2768323,2768323,GO:0005216,Q4W5E3,ENSG00000198515,1259,,8.444493875,8.458211715,8.40463954,8.450022004,8.4602744,8.448762234,8.411538271,8.530119341,8.472263204
3553228,3553228,GO:0007596,Q9UKL0,ENSG00000089902,23186,,8.901762371,8.979969124,9.022269594,9.290061045,9.103018014,8.985916443,9.206080723,9.133247436,9.257597894
3310413,3310413,GO:0005634,B4E107,ENSG00000107669,11101,,10.03652445,9.474094576,10.02989481,10.09848835,9.649270981,9.968145574,10.116948,9.467858997,9.448858374
2949118,2949118,GO:0045084,Q06643,ENSG00000223448,4050,,9.477949678,9.269408086,9.191748727,9.256969808,9.376682633,9.195214188,9.19035626,9.59560431,9.343814911
2985129,2985129,GO:0009536,D1MPS5,ENSG00000203690,6953,,8.824564332,8.752610337,8.753501803,8.752884183,8.747719629,8.684866201,8.700555392,8.858847433,8.792644455
3312422,3312422,GO:0016020,Q8NCR9,ENSG00000180745,119467,,8.459157171,8.337200346,8.307262384,8.337095789,8.412074638,8.298729786,8.250151073,8.476331637,8.376800652
2370804,2370804,,,ENSG00000121446,,,8.318946,8.313387938,8.271017839,8.301832886,8.331305143,8.308077758,8.3054204,8.360260913,8.32291425
3416733,3416733,GO:0007275,Q8IW56,ENSG00000123307,58158,,8.351725395,8.295263072,8.287334045,8.287084022,8.286183637,8.23042876,8.266276703,8.399793318,8.352548492
3526772,3526772,GO:0016020,Q8WV15,ENSG00000184497,348013,,8.973692462,8.842379503,8.762830508,8.855265623,8.857158945,8.739020664,8.848622367,9.075270218,8.907424331
2460325,2460325,,E5RI90,ENSG00000119280,84886,,9.0268898,9.407912536,9.475833726,8.983894205,9.282128898,9.528879836,9.121681006,9.346481,9.27209623
3057520,3057520,,,ENSG00000189077,,,9.752354613,9.839096022,9.336355639,9.177033504,10.13402297,9.871893209,9.720929537,9.353428601,9.700134033
2553911,2553911,GO:0005815,Q5MIZ7,ENSG00000138041,57223,,9.084546956,9.449372608,9.244730673,9.388413742,9.190567257,9.420933469,9.229063756,9.053801622,8.984024287
3464000,3464000,GO:0005634,Q9P031,ENSG00000133773,29080,,9.317081334,9.21877872,9.49723666,9.235773955,9.20499121,8.918762716,9.408635925,9.267378218,9.362031291
2817053,2817053,,,ENSG00000085365,,,9.236713498,9.376578646,9.922589937,9.529213438,9.461535527,9.623073143,9.528593967,8.988263764,9.260990866
2451931,2451931,GO:0016192,Q6ZVE7,ENSG00000174567,127845,,8.780820876,8.63769615,8.602786861,8.615099862,8.69289991,8.704798206,8.671872841,8.848076456,8.729446593
3419585,3419585,GO:0005887,Q9Y2B1,ENSG00000118600,10329,,9.531837609,9.104266009,9.339624548,9.334294429,9.397943016,9.331338633,9.426725563,9.170129532,9.503396314
3271687,3271687,GO:0005737,A8MZB4,ENSG00000175470,55844,,9.236364179,9.003073665,9.292959224,9.237422386,8.938022884,9.077536002,9.294458651,8.93189954,8.912499886
3645626,3645626,GO:0005615,C6GKH1,ENSG00000008517,9235,,8.861398758,8.671282547,8.608006825,8.867037935,8.698050622,8.699196145,8.726988514,9.217398059,8.802159663
3770721,3770721,GO:0005488,Q5JPC1,ENSG00000125454,60386,,8.89464747,8.801505793,8.901286759,8.704684772,8.81483248,8.838307482,8.716663434,8.740679625,8.713634768
3168255,3168255,GO:0016020,Q6UXD1,ENSG00000196196,646962,,9.226670161,8.923079169,8.897591975,9.046354182,8.971971663,8.949693865,8.93290731,9.28716267,9.225261578
2347023,2347023,GO:0003677,C9JT49,ENSG00000122483,343099,,8.326691297,8.46365433,8.493473012,8.456883902,8.458409492,8.539662555,8.397720716,8.351163415,8.365046452
2580304,2580304,GO:0017111,Q53TH5,ENSG00000115947,5000,,8.984786279,9.165952471,9.374970338,9.274487214,9.208570164,9.45088892,9.378465663,8.806032703,9.127269396
3980643,3980643,GO:0019904,B4E0H1,ENSG00000082458,1741,,8.806044901,8.606256093,8.522931913,8.642849148,8.630361566,8.59699295,8.537131409,8.717774514,8.704675275
3995311,3995311,GO:0003674,P43357,ENSG00000213401,266740,,9.324474904,9.090972195,8.865413198,9.004533212,9.131675188,8.858350058,9.097381164,9.361024791,9.332451011
3928559,3928559,GO:0005829,Q3LI64,ENSG00000184724,337966,,8.896679039,8.721402133,8.665556147,8.830165846,8.720638495,8.710198641,8.692822669,9.018578163,8.845292679
3928551,3928551,GO:0005882,Q3LI66,ENSG00000186930,337967,,8.824582685,8.620074253,8.600669849,8.682107654,8.664970963,8.650288564,8.628927065,8.832015087,8.70493727
3190990,3190990,,,ENSG00000179082,,,8.639652153,8.582295223,8.670583534,8.641495262,8.537915088,8.536810184,8.475836323,8.791722914,8.633882795
3855285,3855285,GO:0003674,P27544,ENSG00000223802,10715,,9.130121498,9.057474533,8.984340659,8.729814473,8.771402218,9.041205438,8.878560812,9.061416353,9.015847351
3316057,3316057,GO:0051927,Q76E76,ENSG00000069696,1815,,9.392829283,9.095244085,8.93254224,9.099234948,9.153750393,8.986973618,9.013025462,9.5389486,9.284113696
