STAM2,JAK2
STAM2,JAK3
STAM2,TYK2
UBC,STAM2
USP8,STAM2
ARHGEF1,CNKSR1
CNKSR1,BRAP
CNKSR1,MAP2K2
MAP2K7,CNKSR1
MAP3K10,CNKSR1
CNKSR1,NME1
CNKSR1,PSCD3
RAF1,CNKSR1
CNKSR1,RALGDS
CNKSR1,RHOA
CNKSR1,RHOC
SMAD4,CNKSR1
CNKSR1,STK3
CNKSR1,STK4
AKT1,CDKN1A
CDKN1A,APEX1
CASP3,CDKN1A
CCNA2,CDKN1A
CDKN1A,CCNB1
CCND1,CDKN1A
CCND2,CDKN1A
CCND3,CDKN1A
CCNE1,CDKN1A
CDC2,CDKN1A
CDKN1A,CDC5L
CDC6,CDKN1A
CDK2,CDKN1A
CDK3,CDKN1A
CDK4,CDKN1A
CDK6,CDKN1A
PARP1,CDKN1A
TP73,DENND4A
YWHAB,DENND4A
YWHAG,DENND4A
BMPR1A,SF3B4
SF3B4,KIAA0738
MAPK9,SF3B4
NCK2,SF3B4
SF3B4,STK19
CDK2AP1,CDK2AP2
CDK2AP2,WARS
CALCA,RAMP2
CALCRL,RAMP2
RAMP2,IAPP
RAMP2,VIPR1
CALCA,RAMP1
RAMP1,CALCR
CALCRL,RAMP1
IAPP,RAMP1
VIPR1,RAMP1
CALCR,RAMP3
CALCRL,RAMP3
RAMP3,HSPB3
PDCD6IP,RAMP3
VIPR1,RAMP3
AKT1,CDKN1B
CDKN1B,ARHGDIA
CASP8,CDKN1B
CCNA2,CDKN1B
CCNB1,CDKN1B
CCND1,CDKN1B
CCND2,CDKN1B
CCND3,CDKN1B
CCNE1,CDKN1B
CDK2,CDKN1B
CDK3,CDKN1B
CDK4,CDKN1B
CDK5,CDKN1B
CDKN1A,CDKN1B
AMY1A,AKAP8
CASP3,AKAP8
CCND1,AKAP8
CCND2,AKAP8
CCND3,AKAP8
AKAP8,DDX5
AKAP8,MCM2
PRKAR2A,AKAP8
AKAP8,RELA
GDF8,FSTL3
FSTL3,INHBA
SMAD4,FSTL3
BAG1,STUB1
BMPR1B,STUB1
STUB1,DNAJB1
ERBB2,STUB1
ESR1,STUB1
STUB1,GPR37
STUB1,HSP90AA1
STUB1,HSPA1A
STUB1,HSPA4
HSPA8,STUB1
STUB1,MAP3K14
STUB1,MAP3K3
STUB1,MPP1
STUB1,NFKB1
SLC2A4,STUB1
SMAD1,STUB1
SMAD4,STUB1
TGFBR1,STUB1
TRAF2,STUB1
STUB1,UBE2D1
RAD21,STAG1
STAG1,REC8L1
SMC1A,STAG1
STAG1,SMC3
MAGI1,NET1
CASP3,UBE4B
UBE4B,CASP6
CASP7,UBE4B
UBE4B,GZMB
VCP,UBE4B
BCAR1,EFS
EFS,PTK2
PTK2B,EFS
EFS,PTPN12
SH2D3C,EFS
SORBS3,EFS
CDK4,CDKN1C
ANK2,OPRS1
OPRS1,ITPR3
STX5,BET1
BET1,VDP
HDAC1,SAP18
SAP18,POLE2
RPS3A,SAP18
KPNB1,SMNDC1
SMNDC1,SNRPB
BLK,BCAS2
ESR1,BCAS2
BCAS2,ESR2
BCAS2,PGR
BCAS2,PPARG
CSNK2A1,RGS19
RGS19,CSNK2A2
RGS19,GNAI1
RGS19,GNAI2
RGS19,GNAI3
GNAO1,RGS19
RGS19,GNAZ
MAPK1,RGS19
RGS19,OPRL1
RGS19,PRKCA
TGFBR1,RGS19
FCGR1A,LILRB2
HLA-A,LILRB2
LILRB2,HLA-B
LILRB2,HLA-C
LILRB2,HLA-F
LILRB2,HLA-G
LILRB2,PTPN6
CDKN2A,CCNG1
CDKN2A,CDC5L
CDKN2A,CDC6
CDKN2A,CDK4
CDKN2A,CDK6
SF3A2,SF3A1
SMAD3,SF3A1
SF3A1,SP1
CYLD,TRAIP
FLII,TRAIP
TRAIP,TNFRSF1B
TNFRSF8,TRAIP
TRAF1,TRAIP
TRAF2,TRAIP
EGFR,DNAJA2
GRB2,DNAJA2
HSPA1A,DNAJA2
BCKDHB,BCKDK
BCKDK,DBT
BCKDK,DLD
SLC2A4,BCKDK
BCKDK,TRAF4
MYOC,MAEA
CTNNB1,APC2
CDC42,PAK4
PAK4,DLST
PAK4,FGFR2
GRB2,PAK4
ITGAV,PAK4
PAK4,ITGB5
PAK4,LIMK1
YWHAG,PAK4
PAK4,YWHAZ
CDKN2B,CDK4
CDK8,CDKN2B
TGFBR1,KATNB1
ABCD4,DLEU1
EEF1A1,DLEU1
EEF1G,DLEU1
GDF9,DLEU1
PSMA1,DLEU1
SETDB1,DLEU1
DLEU1,SHMT1
TLE1,DLEU1
TP53,DLEU1
DLEU1,TUBB2A
NMI,SNAPC5
SNAPC5,NOL4
SNAPC5,SNAPC1
SNAPC5,SNAPC2
SNAPC5,SNAPC3
SNAPC5,SNAPC4
APLP2,APBB3
APP,APBB3
APBB3,RAB4A
PCNA,UNG2
UNG2,RPA2
APLP1,CDKN2C
CDK4,CDKN2C
CDK6,CDKN2C
CDKN2A,CDKN2C
COL4A3BP,RTN3
RTN3,FGFR1
FXR2,RTN3
PTPN9,RTN3
RTN3,RAB33A
SLC2A4,RTN3
RTN3,SPOP
RTN3,UGCG
STOM,LANCL1
MAPK1,TNIP1
NFKB1,TNIP1
TNIP1,NFKB2
TNIP1,RPL5
TNIP1,S100B
TNIP1,TNFAIP3
TTF2,TNIP1
CCND1,CDKN2D
CDK4,CDKN2D
CDK6,CDKN2D
AP2M1,IKZF1
CHD3,IKZF1
IKZF1,CTBP1
IKZF1,GTF2B
HDAC1,IKZF1
IKZF1,HDAC2
IKZF1,RBBP8
SAP18,IKZF1
SMARCA4,IKZF1
IKZF1,TBP
UBE2I,IKZF1
SLC2A4,KBTBD10
SIRPB1,TYROBP
KIAA0103,COX4NB
CDC2,CDKN3
CDC25A,CDKN3
CDK2,CDKN3
CDK3,CDKN3
MS4A3,CDKN3
CLEC4M,ICAM3
BTK,TLR6
TLR6,TLR2
TRAP1,TLR6
ITPR1,MRVI1
MRVI1,PRKG1
CRMP1,TFG
MAP3K3,TFG
NFKB2,TFG
PLSCR1,TFG
PTPN6,TFG
TFG,SCP2
SHC1,TFG
SURB7,TFG
TFG,TRIM25
CCR1,CCL26
CCL26,CCR3
ASPH,TRDN
TRDN,CASQ2
TRDN,HRC
TRDN,RYR1
RERE,TRIM22
USP7,TRIM22
BRCA2,HMG20B
HNRPL,HMG20B
VIM,HMG20B
CCNK,HMG20A
HMG20A,DTNB
